ts,id,district,fwy,dir,lane_type,length,samples,pct_obs,flow,occ,speed,l1_samples,l1_flow,l1_occ,l1_speed,l1_obs,l2_samples,l2_flow,l2_occ,l2_speed,l2_obs,l3_samples,l3_flow,l3_occ,l3_speed,l3_obs,l4_samples,l4_flow,l4_occ,l4_speed,l4_obs,l5_samples,l5_flow,l5_occ,l5_speed,l5_obs,l6_samples,l6_flow,l6_occ,l6_speed,l6_obs,l7_samples,l7_flow,l7_occ,l7_speed,l7_obs,l8_samples,l8_flow,l8_occ,l8_speed,l8_obs
2026-08-03 03:30:00,421260,4,580,W,ML,1.129,20,100,19.0,0.0059,67.2,10,6.0,0.0033,71.2,1,10.0,13.0,0.0085,65.3,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 03:35:00,421258,4,580,W,ML,1.055,20,100,18.0,0.0066,68.2,10,8.0,0.0031,71.3,1,10.0,10.0,0.01,65.7,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 03:35:00,421260,4,580,W,ML,1.129,20,100,23.0,0.0066,67.8,10,9.0,0.0047,71.2,1,10.0,14.0,0.0085,65.6,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 03:40:00,421258,4,580,W,ML,1.055,20,100,20.0,0.0071,67.9,10,7.0,0.0028,71.3,1,10.0,13.0,0.0114,66.1,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 03:40:00,421260,4,580,W,ML,1.129,20,100,25.0,0.0076,67.8,10,10.0,0.0051,71.2,1,10.0,15.0,0.01,65.5,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 03:45:00,421258,4,580,W,ML,1.055,20,100,27.0,0.0119,67.2,10,7.0,0.0027,71.3,1,10.0,20.0,0.021,65.7,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 03:45:00,421260,4,580,W,ML,1.129,20,100,26.0,0.0092,65.7,10,2.0,0.0012,71.1,1,10.0,24.0,0.0172,65.3,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 03:50:00,421258,4,580,W,ML,1.055,20,100,27.0,0.0087,68.5,10,10.0,0.0039,71.3,1,10.0,17.0,0.0136,66.9,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 03:50:00,421260,4,580,W,ML,1.129,20,100,32.0,0.0106,67.5,10,14.0,0.0071,71.2,1,10.0,18.0,0.0142,64.7,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 03:55:00,421258,4,580,W,ML,1.055,20,100,34.0,0.0129,68.6,10,13.0,0.0052,71.3,1,10.0,21.0,0.0207,66.9,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 03:55:00,421260,4,580,W,ML,1.129,20,100,32.0,0.0099,67.9,10,15.0,0.0079,71.2,1,10.0,17.0,0.0119,65.0,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 04:00:00,421258,4,580,W,ML,1.055,20,100,40.0,0.018,65.8,10,17.0,0.0068,71.3,1,10.0,23.0,0.0291,61.8,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 04:00:00,421260,4,580,W,ML,1.129,20,100,40.0,0.0162,65.1,10,15.0,0.0085,71.0,1,10.0,25.0,0.0238,61.6,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 04:05:00,421258,4,580,W,ML,1.055,20,100,31.0,0.0149,64.4,10,13.0,0.0053,71.3,1,10.0,18.0,0.0245,59.5,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 04:05:00,421260,4,580,W,ML,1.129,20,100,38.0,0.0131,66.5,10,18.0,0.0094,71.1,1,10.0,20.0,0.0169,62.4,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 04:10:00,421258,4,580,W,ML,1.055,20,100,27.0,0.0103,65.7,10,9.0,0.0038,71.2,1,10.0,18.0,0.0168,62.9,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
