ts,id,district,fwy,dir,lane_type,length,samples,pct_obs,flow,occ,speed,l1_samples,l1_flow,l1_occ,l1_speed,l1_obs,l2_samples,l2_flow,l2_occ,l2_speed,l2_obs,l3_samples,l3_flow,l3_occ,l3_speed,l3_obs,l4_samples,l4_flow,l4_occ,l4_speed,l4_obs,l5_samples,l5_flow,l5_occ,l5_speed,l5_obs,l6_samples,l6_flow,l6_occ,l6_speed,l6_obs,l7_samples,l7_flow,l7_occ,l7_speed,l7_obs,l8_samples,l8_flow,l8_occ,l8_speed,l8_obs
2026-01-06 01:35:00,421238,4,580,E,ML,3.005,30,67,40.0,0.0118,62.5,10,0.0,0.0,71.9,1,10.0,8.0,0.0054,69.2,1,10.0,32.0,0.03,60.8,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 01:40:00,421237,4,580,E,ML,1.513,30,67,49.0,0.0144,63.9,10,1.0,0.0008,71.6,1,10.0,13.0,0.0095,69.8,1,10.0,35.0,0.0329,61.5,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 01:40:00,421238,4,580,E,ML,3.005,30,67,51.0,0.0135,64.1,10,2.0,0.0009,71.9,1,10.0,14.0,0.0079,69.7,1,10.0,35.0,0.0316,61.4,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 01:45:00,421237,4,580,E,ML,1.513,30,67,46.0,0.0158,63.7,10,3.0,0.0028,71.4,1,10.0,10.0,0.0115,69.3,1,10.0,33.0,0.0332,61.4,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 01:45:00,421238,4,580,E,ML,3.005,30,67,45.0,0.0124,63.8,10,2.0,0.0009,71.9,1,10.0,10.0,0.006,69.8,1,10.0,33.0,0.0303,61.5,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 01:50:00,421237,4,580,E,ML,1.513,30,67,41.0,0.0146,62.9,10,1.0,0.0005,71.8,1,10.0,8.0,0.0106,68.7,1,10.0,32.0,0.0328,61.1,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 01:50:00,421238,4,580,E,ML,3.005,30,67,41.0,0.0125,63.2,10,1.0,0.0006,71.8,1,10.0,8.0,0.0064,69.4,1,10.0,32.0,0.0305,61.4,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 01:55:00,421237,4,580,E,ML,1.513,30,67,48.0,0.0162,63.5,10,2.0,0.0012,71.9,1,10.0,12.0,0.0131,68.8,1,10.0,34.0,0.0343,61.1,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 01:55:00,421238,4,580,E,ML,3.005,30,67,43.0,0.0125,63.7,10,4.0,0.0019,71.9,1,10.0,8.0,0.0051,69.5,1,10.0,31.0,0.0305,61.2,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 02:00:00,421237,4,580,E,ML,1.513,30,67,45.0,0.0153,63.5,10,2.0,0.0013,71.8,1,10.0,10.0,0.0113,69.3,1,10.0,33.0,0.0332,61.3,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
